64	5882.936508
70	5093.167702
75	1185.585586
81	1243.827160
88	1266.980146
95	1254.199328
102	1275.480489
110	1261.050876
119	1290.414471
128	1262.303150
139	1237.618601
150	1221.476510
162	1255.271835
175	1244.663383
189	1215.805471
204	1236.839563
220	1240.348692
238	1227.528986
256	1229.166667
277	1253.597028
299	1239.029427
323	1240.697652
349	1259.592267
377	1227.637000
407	1266.506094
439	1227.155948
475	1291.050411
512	1302.898728
553	1262.481327
598	1288.549772
646	1258.885929
697	1255.833704
753	1246.397389
813	1263.671011
878	1271.886193
949	1238.634494
1024	1307.639143
1106	1280.092952
1195	1251.978161
1291	1278.475312
1394	1275.283983
1506	1267.629372
1626	1261.326521
1756	1302.214954
1897	1245.860108
2048	1510.022289
2212	1318.890506
2390	1275.896674
2581	1254.240139
2787	1252.724229
3011	1259.115249
3251	1275.716348
3512	1289.580291
3793	1273.494312
4096	1829.846802
4424	1311.532598
4779	1299.045260
5161	1307.689304
5574	1303.742846
6021	1306.876100
6502	1317.491273
7023	1317.601405
7585	1313.854376
8192	1947.854710
8848	1327.863769
9557	1328.759176
10322	1326.950707
11148	1328.575762
12041	1322.157187
13004	1332.637124
14046	1329.167800
15170	1329.768110
16384	1969.375411
17696	1380.508818
19113	1326.693941
20643	1331.340368
22296	1342.768620
24081	1327.941164
26008	1345.595417
28091	1336.376629
