32668	100	2.6088e-05
5048	200	50.48
20098	300	100.49
45148	400	150.493
80198	500	200.495
125248	600	250.496
180298	700	300.497
245348	800	350.497
320398	900	400.498
405448	1000	450.498
500498	1100	500.498
605548	1200	550.498
720598	1300	600.498
845648	1400	650.498
980698	1500	700.499
1125748	1600	750.499
1280798	1700	800.499
1445848	1800	850.499
1620898	1900	900.499
1805948	2000	950.499
