4096	6016	256
4900	6190	307
5625	6610	352
6561	7444	410
7744	8872	484
9025	10790	564
10404	13114	651
12100	16130	757
14161	19982	885
16384	24320	1024
19321	24914	1208
22500	26718	1407
26244	30066	1641
30625	35318	1914
35721	42864	2233
41616	52812	2601
48400	64924	3025
56644	80386	3541
65536	97792	4096
76729	99976	4827
89401	106994	5726
104329	120170	6869
121801	140944	8023
142129	170876	9326
165649	210542	10831
192721	258894	12714
225625	320634	14868
262144	392192	16384
305809	400556	20019
357604	429086	23680
417316	481838	27888
485809	563132	32324
567009	682356	37554
660969	840756	43600
770884	1037186	51345
900601	1280716	59736
1048576	1570816	65536
1223236	1604354	80538
1428025	1716850	95567
1666681	1926994	111727
1943236	2254946	129705
2268036	2731954	150666
2643876	3365854	174666
3083536	4151964	205890
3598609	5119224	239140
4194304	6287360	262144
4892944	6421676	322399
5712100	6871838	382925
6661561	7707272	445981
7767369	9017226	517456
9066121	10923242	601202
10569001	13457762	697885
12334144	16614296	823561
14386849	20469616	956071
16777216	25157632	1048576
19571776	25695224	1289620
22838841	27489394	1533317
26635921	30827692	1782059
31069476	36078574	2069244
36252441	43683832	2402642
42276004	53842362	2789236
49322529	66444310	3293317
57532225	81863904	3823310
67108864	100646912	4194304
78287104	102797936	5158524
91336249	109961672	6135181
106543684	123329282	7125207
124277904	144333636	8270213
144985681	174717068	9606232
169104016	215392076	11155568
197290116	265802994	13173385
230128900	327484742	15293248
268435456	402620416	16777216
313148416	411225824	20633816
365306769	439854892	24545201
426133449	493311562	28495938
497111616	577373224	33078488
