4096	6016	32
4900	6190	39
5625	6610	44
6561	7444	52
7744	8872	61
9025	10790	71
10404	13114	82
12100	16130	95
14161	19982	111
16384	24320	128
19321	24914	151
22500	26718	176
26244	30066	206
30625	35318	240
35721	42864	280
41616	52812	326
48400	64924	379
56644	80386	443
65536	97792	512
76729	99976	850
89401	106994	1046
104329	120170	1270
121801	140944	1528
142129	170876	1775
165649	210542	2202
192721	258894	2531
225625	320634	2939
262144	392192	2048
305809	400556	4071
357604	429086	5034
417316	481838	5741
485809	563132	6521
567009	682356	7546
660969	840756	9599
770884	1037186	10899
900601	1280716	12447
1048576	1570816	8192
1223236	1604354	17002
1428025	1716850	20524
1666681	1926994	23255
1943236	2254946	26246
2268036	2731954	30843
2643876	3365854	39191
3083536	4151964	44331
3598609	5119224	50225
4194304	6287360	32768
4892944	6421676	68509
5712100	6871838	82325
6661561	7707272	92994
7767369	9017226	104926
9066121	10923242	122168
10569001	13457762	158360
12334144	16614296	178617
14386849	20469616	201764
16777216	25157632	131072
19571776	25695224	275860
22838841	27489394	329614
26635921	30827692	371898
31069476	36078574	419705
36252441	43683832	491753
42276004	53842362	636603
49322529	66444310	717057
57532225	81863904	808795
67108864	100646912	524288
78287104	102797936	1111183
91336249	109961672	1319496
106543684	123329282	1487724
124277904	144333636	1678821
144985681	174717068	1950954
169104016	215392076	2553293
197290116	265802994	2873595
230128900	327484742	3239128
268435456	402620416	2097152
313148416	411225824	4466794
365306769	439854892	5279545
426133449	493311562	5950637
497111616	577373224	6715277
