4096	4032	256
4900	4830	307
5625	5550	352
6561	6480	410
7744	7656	484
9025	8930	564
10404	10302	651
12100	11990	757
14161	14042	885
16384	16256	1024
19321	19182	1252
22500	22350	1472
26244	26082	1725
30625	30450	2021
35721	35532	2362
41616	41412	2721
48400	48180	3160
56644	56406	3717
65536	65280	4096
76729	76452	5026
89401	89102	5840
104329	104006	6799
121801	121452	7917
142129	141752	9214
165649	165242	10715
192721	192282	12437
225625	225150	14530
262144	261632	16384
305809	305256	19617
357604	357006	22862
417316	416670	26637
485809	485112	31006
567009	566256	36133
660969	660156	42065
770884	770006	48942
900601	899652	57169
1048576	1047552	122106
1223236	1222130	215188
1428025	1426830	323655
1666681	1665390	450477
1943236	1941842	597796
2268036	2266530	770388
2643876	2642250	970217
3083536	3081780	1203246
3598609	3596712	1477397
4194304	4192256	1793210
4892944	4890732	2164456
5712100	5709710	2600618
6661561	6658980	3105129
7767369	7764582	3692388
9066121	9063110	4382434
10569001	10565750	5180929
12334144	12330632	6117983
14386849	14383056	7209539
16777216	16773120	8477754
19571776	19567352	9963146
22838841	22834062	11699495
26635921	26630760	13717397
31069476	31063902	16072918
36252441	36246420	18826789
42276004	42269502	22026734
49322529	49315506	25767769
57532225	57524640	30132179
67108864	67100672	35216186
78287104	78278256	41154585
91336249	91326692	48091609
106543684	106533362	56170132
124277904	124266756	65590689
144985681	144973640	76593717
169104016	169091012	89405141
197290116	197276070	104380330
230128900	230113730	121826596
268435456	268419072	142170426
313148416	313130720	165924104
365306769	365287656	193642389
426133449	426112806	225956064
497111616	497089320	263659537
