4096	4032	4
4900	4830	5
5625	5550	6
6561	6480	7
7744	7656	8
9025	8930	9
10404	10302	11
12100	11990	12
14161	14042	14
16384	16256	16
19321	19182	19
22500	22350	22
26244	26082	26
30625	30450	30
35721	35532	35
41616	41412	41
48400	48180	48
56644	56406	56
65536	65280	64
76729	76452	2870
89401	89102	6271
104329	104006	10007
121801	121452	14765
142129	141752	20674
165649	165242	27845
192721	192282	36637
225625	225150	48100
262144	261632	61503
305809	305256	79026
357604	357006	101038
417316	416670	128679
485809	485112	162560
567009	566256	206054
660969	660156	260153
770884	770006	328503
900601	899652	415527
1048576	1047552	522783
1223236	1222130	610242
1428025	1426830	712819
1666681	1665390	832273
1943236	1941842	970736
2268036	2266530	1133354
2643876	2642250	1321513
3083536	3081780	1541622
3598609	3596712	1799483
4194304	4192256	2097182
4892944	4890732	2447438
5712100	5709710	2857514
6661561	6658980	3332796
7767369	7764582	3886339
9066121	9063110	4536460
10569001	10565750	5288755
12334144	12330632	6172315
14386849	14383056	7199819
16777216	16773120	8394780
19571776	19567352	9795114
22838841	22834062	11430454
26635921	26630760	13331016
31069476	31063902	15550170
36252441	36246420	18144401
42276004	42269502	21159357
49322529	49315506	24686286
57532225	57524640	28795462
67108864	67100672	33585176
78287104	78278256	39183606
91336249	91326692	45714907
106543684	106533362	53326482
124277904	124266756	62202651
144985681	144973640	72567119
169104016	169091012	84638511
197290116	197276070	98745862
230128900	230113730	115181848
268435456	268419072	134346768
313148416	313130720	156733156
365306769	365287656	182838778
426133449	426112806	213282553
497111616	497089320	248807056
