4096	4032	438
4900	4830	923
5625	5550	1330
6561	6480	1854
7744	7656	2440
9025	8930	3101
10404	10302	3884
12100	11990	4787
14161	14042	5862
16384	16256	6962
19321	19182	8633
22500	22350	10328
26244	26082	12288
30625	30450	14576
35721	35532	17367
41616	41412	20460
48400	48180	24069
56644	56406	28499
65536	65280	33066
76729	76452	39187
89401	89102	45923
104329	104006	53886
121801	121452	63167
142129	141752	73976
165649	165242	86412
192721	192282	100802
225625	225150	118358
262144	261632	137498
305809	305256	161008
357604	357006	188520
417316	416670	220260
485809	485112	256696
567009	566256	299886
660969	660156	349803
770884	770006	408179
900601	899652	477163
1048576	1047552	555258
1223236	1222130	648544
1428025	1426830	757403
1666681	1665390	884225
1943236	1941842	1031152
2268036	2266530	1203744
2643876	2642250	1403480
3083536	3081780	1636965
3598609	3596712	1910896
4194304	4192256	2226362
4892944	4890732	2598375
5712100	5709710	3033768
6661561	6658980	3538387
7767369	7764582	4125800
9066121	9063110	4815846
10569001	10565750	5614341
12334144	12330632	6551482
14386849	14383056	7643006
16777216	16773120	8910906
19571776	19567352	10396645
22838841	22834062	12133243
26635921	26630760	14150896
31069476	31063902	16506068
36252441	36246420	19260047
42276004	42269502	22459884
49322529	49315506	26200900
57532225	57524640	30565646
67108864	67100672	35649338
78287104	78278256	41587737
91336249	91326692	48524867
106543684	106533362	56603488
124277904	124266756	66024408
144985681	144973640	77027216
169104016	169091012	89838860
197290116	197276070	104813959
230128900	230113730	122259952
268435456	268419072	142603578
313148416	313130720	166357256
365306769	365287656	194075888
426133449	426112806	226389476
497111616	497089320	264093036
