64	0.000036
70	0.000060
75	0.000049
81	0.000056
88	0.000081
95	0.000098
102	0.000115
110	0.000099
119	0.000118
128	0.000179
139	0.000230
150	0.000275
162	0.000319
175	0.000408
189	0.000428
204	0.000493
220	0.000590
238	0.000967
256	0.001403
277	0.000978
299	0.001177
323	0.002305
349	0.003325
377	0.002509
407	0.002176
439	0.002153
475	0.003037
512	0.003410
553	0.004269
598	0.004902
646	0.004577
697	0.005371
753	0.006205
813	0.008982
878	0.008925
949	0.011887
1024	0.013530
1106	0.016093
1195	0.019399
1291	0.022793
1394	0.022646
1506	0.031343
1626	0.034276
1756	0.031251
1897	0.037422
2048	0.046905
2212	0.060565
2390	0.071446
2581	0.067407
2787	0.075396
3011	0.084158
3251	0.097515
3512	0.108084
3793	0.130946
4096	0.149021
4424	0.183598
4779	0.206592
5161	0.249335
5574	0.301898
6021	0.339663
6502	0.388807
7023	0.455866
7585	0.519136
8192	0.643238
8848	0.748127
9557	0.831998
10322	1.005919
11148	1.220716
12041	1.341678
13004	1.546673
14046	1.722816
15170	2.096846
16384	2.577735
17696	2.901328
