64	0.000076
70	0.000089
75	0.000101
81	0.000115
88	0.000135
95	0.000159
102	0.000038
110	0.000044
119	0.000052
128	0.000060
139	0.000071
150	0.000081
162	0.000095
175	0.000110
189	0.000129
204	0.000150
220	0.000173
238	0.000203
256	0.000238
277	0.000275
299	0.000319
323	0.000375
349	0.000436
377	0.000511
407	0.000594
439	0.000694
475	0.000816
512	0.001094
553	0.001113
598	0.001299
646	0.001520
697	0.001781
753	0.002080
813	0.002433
878	0.002785
949	0.003354
1024	0.004469
1106	0.004432
1195	0.005304
1291	0.006017
1394	0.007217
1506	0.008267
1626	0.009953
1756	0.011846
1897	0.014387
2048	0.036333
2212	0.020413
2390	0.024363
2581	0.029248
2787	0.034727
3011	0.041120
3251	0.048549
3512	0.055291
3793	0.065874
4096	0.226441
4424	0.089832
4779	0.108262
5161	0.126106
5574	0.146446
6021	0.173191
6502	0.202081
7023	0.237185
7585	0.276694
8192	1.062081
8848	0.356515
9557	0.442338
10322	0.516042
11148	0.609274
12041	0.706252
13004	0.834545
14046	0.970553
15170	1.153548
16384	4.371725
17696	1.577485
19113	1.777028
20643	2.101913
22296	3.833353
24081	4.264367
26008	5.538564
28091	5.957499
30340	7.721996
